,url,section,title,year,type,author
2687,https://mindmodeling.org/cogsci2013/papers/0400/index.html,Posters,Speed Facilitation In The Absence Of Enhanced Recognition For Target-Aligned But Irrelevant Stimuli Under Cross-modal Presentations,2013,poster,"Dewald, Andrew"
2687,https://mindmodeling.org/cogsci2013/papers/0400/index.html,Posters,Speed Facilitation In The Absence Of Enhanced Recognition For Target-Aligned But Irrelevant Stimuli Under Cross-modal Presentations,2013,poster,"Sinnett, Scott"
2688,https://mindmodeling.org/cogsci2013/papers/0401/index.html,Posters,The Great Deceivers: Virtual Agents and Believable Lies,2013,poster,"Dias, João"
2688,https://mindmodeling.org/cogsci2013/papers/0401/index.html,Posters,The Great Deceivers: Virtual Agents and Believable Lies,2013,poster,"Aylett, Ruth"
2688,https://mindmodeling.org/cogsci2013/papers/0401/index.html,Posters,The Great Deceivers: Virtual Agents and Believable Lies,2013,poster,"Paiva, Ana"
2688,https://mindmodeling.org/cogsci2013/papers/0401/index.html,Posters,The Great Deceivers: Virtual Agents and Believable Lies,2013,poster,"Reis, Henrique"
2689,https://mindmodeling.org/cogsci2013/papers/0402/index.html,Posters,"One for all, all for one: Agents with social identities",2013,poster,"Dimas, Joana"
2689,https://mindmodeling.org/cogsci2013/papers/0402/index.html,Posters,"One for all, all for one: Agents with social identities",2013,poster,"Lopes, Phil"
2689,https://mindmodeling.org/cogsci2013/papers/0402/index.html,Posters,"One for all, all for one: Agents with social identities",2013,poster,"Prada, Rui"
2690,https://mindmodeling.org/cogsci2013/papers/0403/index.html,Posters,Constraining ACT-R Models of Decision Strategies: An Experimental Paradigm,2013,poster,"Dimov, Cvetomir"
2690,https://mindmodeling.org/cogsci2013/papers/0403/index.html,Posters,Constraining ACT-R Models of Decision Strategies: An Experimental Paradigm,2013,poster,"Marewski, Julian"
2690,https://mindmodeling.org/cogsci2013/papers/0403/index.html,Posters,Constraining ACT-R Models of Decision Strategies: An Experimental Paradigm,2013,poster,"Schooler, Lael"
2691,https://mindmodeling.org/cogsci2013/papers/0404/index.html,Posters,Planning ahead through space and time: from neuropsychology to motor control,2013,poster,"Dione, Mariama"
2691,https://mindmodeling.org/cogsci2013/papers/0404/index.html,Posters,Planning ahead through space and time: from neuropsychology to motor control,2013,poster,"Ott, Laurent"
2691,https://mindmodeling.org/cogsci2013/papers/0404/index.html,Posters,Planning ahead through space and time: from neuropsychology to motor control,2013,poster,"Delevoye-Turrell, Yvonne"
2692,https://mindmodeling.org/cogsci2013/papers/0405/index.html,Posters,"Spatial congruity effects reveal metaphors, not markedness",2013,poster,"Dolscheid, Sarah"
2692,https://mindmodeling.org/cogsci2013/papers/0405/index.html,Posters,"Spatial congruity effects reveal metaphors, not markedness",2013,poster,"Graver, Cleve"
2692,https://mindmodeling.org/cogsci2013/papers/0405/index.html,Posters,"Spatial congruity effects reveal metaphors, not markedness",2013,poster,"Casasanto, Daniel"
2693,https://mindmodeling.org/cogsci2013/papers/0406/index.html,Posters,A two process account of the memory improvement due to choosing,2013,poster,"Driver, Charles"
2694,https://mindmodeling.org/cogsci2013/papers/0407/index.html,Posters,Motion in Vision and Language:  Seeing Visual Motion can influence Processing of Motion Verbs,2013,poster,"Dudschig, Carolin"
2694,https://mindmodeling.org/cogsci2013/papers/0407/index.html,Posters,Motion in Vision and Language:  Seeing Visual Motion can influence Processing of Motion Verbs,2013,poster,"Souman, Jan"
2694,https://mindmodeling.org/cogsci2013/papers/0407/index.html,Posters,Motion in Vision and Language:  Seeing Visual Motion can influence Processing of Motion Verbs,2013,poster,"Kaup, Barbara"
2695,https://mindmodeling.org/cogsci2013/papers/0408/index.html,Posters,Using Music as a Turn in Conversation in a Lesson,2013,poster,"Duffy, Sam"
2695,https://mindmodeling.org/cogsci2013/papers/0408/index.html,Posters,Using Music as a Turn in Conversation in a Lesson,2013,poster,"Healey, Patrick"
2696,https://mindmodeling.org/cogsci2013/papers/0409/index.html,Posters,Object-based Saliency as a Predictor of Attention in Visual Tasks,2013,poster,"Dziemianko, Michal"
2696,https://mindmodeling.org/cogsci2013/papers/0409/index.html,Posters,Object-based Saliency as a Predictor of Attention in Visual Tasks,2013,poster,"Clarke, Alasdair"
2696,https://mindmodeling.org/cogsci2013/papers/0409/index.html,Posters,Object-based Saliency as a Predictor of Attention in Visual Tasks,2013,poster,"Keller, Frank"
2697,https://mindmodeling.org/cogsci2013/papers/0410/index.html,Posters,"Verbal and Nonverbal Cues Activate Concepts Differently, at Different Times",2013,poster,"Edmiston, Pierce"
2697,https://mindmodeling.org/cogsci2013/papers/0410/index.html,Posters,"Verbal and Nonverbal Cues Activate Concepts Differently, at Different Times",2013,poster,"Lupyan, Gary"
2698,https://mindmodeling.org/cogsci2013/papers/0411/index.html,Posters,Language and cognitive load in a dual task environment,2013,poster,"Engonopoulos, Nikolaos"
2698,https://mindmodeling.org/cogsci2013/papers/0411/index.html,Posters,Language and cognitive load in a dual task environment,2013,poster,"Sayeed, Asad"
2698,https://mindmodeling.org/cogsci2013/papers/0411/index.html,Posters,Language and cognitive load in a dual task environment,2013,poster,"Demberg, Vera"
2699,https://mindmodeling.org/cogsci2013/papers/0412/index.html,Posters,Math and Metacognition: Resolving the Paradox,2013,poster,"Erickson, Shanna"
2699,https://mindmodeling.org/cogsci2013/papers/0412/index.html,Posters,Math and Metacognition: Resolving the Paradox,2013,poster,"Heit, Evan"
2700,https://mindmodeling.org/cogsci2013/papers/0413/index.html,Posters,Candle-Candle-Candle-Candy: Continuous Attraction Toward Previously Seen Phonological Competitors,2013,poster,"Falke, Jesse"
2700,https://mindmodeling.org/cogsci2013/papers/0413/index.html,Posters,Candle-Candle-Candle-Candy: Continuous Attraction Toward Previously Seen Phonological Competitors,2013,poster,"Winter, Bodo"
2700,https://mindmodeling.org/cogsci2013/papers/0413/index.html,Posters,Candle-Candle-Candle-Candy: Continuous Attraction Toward Previously Seen Phonological Competitors,2013,poster,"Spivey, Michael"
2701,https://mindmodeling.org/cogsci2013/papers/0414/index.html,Posters,"Communication and Categorization: New Insights into the Relation Between Speech, Labels and Concepts for Infants",2013,poster,"Ferguson, Brock"
2701,https://mindmodeling.org/cogsci2013/papers/0414/index.html,Posters,"Communication and Categorization: New Insights into the Relation Between Speech, Labels and Concepts for Infants",2013,poster,"Waxman, Sandra"
2702,https://mindmodeling.org/cogsci2013/papers/0415/index.html,Posters,Stopping Rule Selection (SRS) Theory Applied to Deferred Decision Making,2013,poster,"Fific, Mario"
2702,https://mindmodeling.org/cogsci2013/papers/0415/index.html,Posters,Stopping Rule Selection (SRS) Theory Applied to Deferred Decision Making,2013,poster,"Buckmann, Marcus"
